iter	Passed	Remaining
400	29008	43331
401	29084	43264
402	29160	43197
403	29231	43124
404	29302	43048
405	29375	42977
406	29451	42910
407	29536	42856
408	29606	42781
409	29672	42700
410	29744	42626
411	29810	42545
412	29885	42475
413	29954	42399
414	30027	42327
415	30106	42265
416	30188	42206
417	30261	42133
418	30338	42068
419	30400	41982
420	30475	41913
421	30544	41836
422	30619	41766
423	30693	41697
424	30772	41632
425	30867	41592
426	30940	41519
427	31026	41464
428	31098	41391
429	31166	41314
430	31243	41247
431	31323	41184
432	31400	41117
433	31476	41049
434	31549	40977
435	31629	40915
436	31699	40839
437	31771	40766
438	31870	40727
439	31942	40654
440	32014	40580
441	32085	40506
442	32151	40425
443	32224	40353
444	32291	40274
445	32377	40218
446	32449	40144
447	32529	40081
448	32596	40001
449	32670	39930
450	32740	39855
451	32830	39803
452	32903	39730
453	32970	39651
454	33049	39587
455	33061	39441
456	33133	39369
457	33204	39294
458	33276	39221
459	33355	39156
460	33437	39095
461	33512	39025
462	33589	38958
463	33657	38880
464	33743	38823
465	33827	38763
466	33900	38692
467	33971	38617
468	34051	38553
469	34125	38481
470	34201	38413
471	34280	38347
472	34360	38283
473	34432	38209
474	34504	38136
475	34577	38063
476	34649	37990
477	34732	37930
478	34811	37863
479	34882	37789
480	34953	37715
481	35026	37643
482	35095	37566
483	35164	37488
484	35235	37415
485	35312	37347
486	35393	37283
487	35467	37211
488	35505	37103
489	35580	37033
490	35654	36961
491	35740	36902
492	35816	36833
493	35900	36772
494	35976	36703
495	36045	36626
496	36112	36548
497	36181	36472
498	36247	36392
499	36320	36320
500	36373	36228
501	36462	36171
502	36535	36099
503	36605	36024
504	36610	35885
505	36673	35803
506	36748	35733
507	36818	35658
508	36887	35582
509	36959	35510
510	37044	35449
511	37124	35384
512	37188	35304
513	37260	35230
514	37335	35160
515	37403	35084
516	37472	35008
517	37541	34932
518	37615	34861
519	37688	34789
520	37762	34718
521	37833	34644
522	37903	34569
523	37971	34493
524	38097	34468
525	38232	34453
526	38324	34397
527	38400	34327
528	38469	34251
529	38538	34175
530	38611	34102
531	38679	34026
532	38753	33954
533	38825	33881
534	38895	33805
535	38964	33730
536	39027	33649
537	39083	33562
538	39151	33486
539	39225	33413
540	39299	33342
541	39360	33260
542	39429	33184
543	39502	33112
544	39579	33043
545	39662	32979
546	39734	32906
547	39797	32825
548	39858	32743
549	39926	32666
550	39997	32593
551	40060	32513
552	40139	32445
553	40213	32373
554	40285	32301
555	40349	32221
556	40428	32153
557	40501	32081
558	40564	32001
559	40642	31933
560	40724	31867
561	40806	31802
562	40879	31730
563	40949	31655
564	41023	31584
565	41099	31514
566	41171	31441
567	41255	31377
568	41318	31297
569	41403	31233
570	41478	31163
571	41547	31087
572	41632	31024
573	41712	30957
574	41788	30887
575	41856	30810
576	41919	30731
577	41990	30657
578	42083	30599
579	42147	30520
580	42223	30450
581	42296	30377
582	42365	30302
583	42439	30230
584	42508	30155
585	42579	30081
586	42649	30007
587	42721	29934
588	42794	29861
589	42866	29788
590	42938	29715
591	43007	29639
592	43081	29568
593	43158	29499
594	43219	29418
595	43294	29347
596	43366	29274
597	43437	29200
598	43502	29122
599	43561	29041
600	43640	28972
601	43720	28904
602	43790	28830
603	43851	28750
604	43919	28674
605	43990	28600
606	44064	28529
607	44149	28464
608	44220	28390
609	44294	28319
610	44369	28248
611	44453	28183
612	44536	28116
613	44612	28046
614	44682	27972
615	44751	27896
616	44820	27821
617	44885	27744
618	44957	27671
619	45034	27601
620	45104	27527
621	45176	27454
622	45259	27387
623	45334	27316
624	45405	27243
625	45473	27167
626	45541	27092
627	45619	27022
628	45691	26949
629	45764	26877
630	45840	26807
631	45898	26725
632	45967	26650
633	46046	26582
634	46120	26510
635	46194	26438
636	46272	26368
637	46346	26296
638	46350	26185
639	46422	26112
640	46487	26035
641	46562	25964
642	46651	25901
643	46743	25839
644	46813	25765
645	46875	25687
646	46940	25610
647	47008	25535
648	47092	25469
649	47161	25394
650	47238	25324
651	47310	25251
652	47390	25182
653	47476	25117
654	47544	25042
655	47622	24972
656	47688	24896
657	47766	24826
658	47835	24752
659	47910	24681
660	47978	24606
661	48041	24528
662	48117	24458
663	48194	24387
664	48270	24316
665	48354	24249
666	48428	24177
667	48502	24106
668	48575	24033
669	48642	23958
670	48726	23891
671	48804	23821
672	48878	23749
673	48944	23673
674	49011	23598
675	49080	23524
676	49151	23450
677	49217	23374
678	49287	23301
679	49353	23225
680	49425	23152
681	49494	23078
682	49577	23010
683	49661	22943
684	49733	22870
685	49795	22792
686	49866	22719
687	49939	22646
688	50001	22569
689	50069	22495
690	50138	22420
691	50212	22349
692	50297	22281
693	50370	22209
694	50452	22140
695	50522	22067
696	50595	21994
697	50669	21922
698	50744	21851
699	50819	21779
700	50888	21705
701	50953	21629
702	51035	21561
703	51110	21489
704	51180	21416
705	51247	21341
706	51325	21270
707	51392	21195
708	51467	21124
709	51531	21048
710	51601	20974
711	51684	20906
712	51763	20835
713	51838	20764
714	51910	20691
715	51988	20621
716	52058	20547
717	52138	20477
718	52220	20408
719	52296	20337
720	52384	20270
721	52460	20199
722	52533	20127
723	52622	20060
724	52701	19990
725	52769	19915
726	52837	19841
727	52910	19768
728	52981	19695
729	53057	19623
730	53126	19549
731	53206	19479
732	53269	19403
733	53341	19330
734	53409	19256
735	53484	19184
736	53554	19111
737	53628	19038
738	53702	18966
739	53774	18893
740	53838	18817
741	53905	18743
742	53968	18667
743	54034	18592
744	54119	18524
745	54207	18456
746	54276	18382
747	54348	18309
748	54415	18235
749	54499	18166
750	54566	18092
751	54644	18021
752	54723	17950
753	54809	17881
754	54873	17806
755	54944	17733
756	55015	17660
757	55083	17586
758	55159	17514
759	55249	17447
760	55317	17373
761	55396	17302
762	55458	17226
763	55523	17151
764	55602	17080
765	55666	17005
766	55728	16929
767	55803	16857
768	55873	16783
769	55948	16711
770	56023	16639
771	56099	16568
772	56160	16492
773	56239	16421
774	56314	16349
775	56402	16281
776	56474	16208
777	56545	16135
778	56622	16063
779	56703	15993
780	56775	15920
781	56847	15847
782	56909	15771
783	56975	15697
784	57044	15623
785	57116	15550
786	57196	15480
787	57269	15407
788	57339	15334
789	57393	15256
790	57463	15183
791	57538	15111
792	57606	15037
793	57672	14963
794	57734	14887
795	57805	14814
796	57881	14742
797	57954	14670
798	58028	14597
799	58104	14526
800	58169	14451
801	58238	14378
802	58308	14304
803	58393	14235
804	58472	14164
805	58543	14091
806	58608	14016
807	58699	13948
808	58781	13878
809	58842	13802
810	58901	13726
811	58977	13654
812	59057	13584
813	59132	13511
814	59204	13439
815	59275	13366
816	59367	13297
817	59435	13224
818	59516	13153
819	59584	13079
820	59671	13009
821	59745	12937
822	59811	12863
823	59879	12789
824	59940	12714
825	60002	12639
826	60095	12571
827	60169	12498
828	60245	12426
829	60324	12355
830	60403	12284
831	60485	12213
832	60571	12143
833	60647	12071
834	60709	11996
835	60779	11923
836	60848	11849
837	60919	11776
838	60996	11704
839	61061	11630
840	61137	11558
841	61202	11484
842	61261	11409
843	61341	11337
844	61420	11266
845	61484	11192
846	61547	11117
847	61615	11044
848	61686	10971
849	61754	10897
850	61825	10824
851	61901	10752
852	61982	10681
853	62055	10609
854	62125	10535
855	62205	10464
856	62209	10380
857	62276	10306
858	62349	10234
859	62419	10161
860	62491	10088
861	62550	10013
862	62643	9944
863	62718	9872
864	62785	9798
865	62858	9726
866	62931	9653
867	63002	9581
868	63094	9511
869	63167	9438
870	63237	9365
871	63308	9293
872	63379	9220
873	63444	9146
874	63520	9074
875	63603	9003
876	63680	8931
877	63752	8858
878	63820	8785
879	63884	8711
880	63951	8638
881	64031	8566
882	64111	8494
883	64182	8422
884	64260	8350
885	64338	8278
886	64419	8206
887	64491	8134
888	64561	8061
889	64630	7988
890	64698	7914
891	64767	7841
892	64839	7769
893	64921	7697
894	64988	7624
895	65063	7552
896	65151	7481
897	65221	7408
898	65293	7335
899	65365	7262
900	65442	7190
901	65515	7118
902	65595	7046
903	65671	6973
904	65740	6900
905	65814	6828
906	65877	6754
907	65943	6681
908	66029	6610
909	66104	6537
910	66170	6464
911	66242	6391
912	66308	6318
913	66400	6247
914	66479	6175
915	66553	6103
916	66630	6030
917	66703	5958
918	66777	5885
919	66853	5813
920	66926	5740
921	67012	5669
922	67085	5596
923	67160	5524
924	67231	5451
925	67311	5379
926	67403	5307
927	67480	5235
928	67548	5162
929	67629	5090
930	67699	5017
931	67767	4944
932	67840	4871
933	67904	4798
934	67976	4725
935	68056	4653
936	68129	4580
937	68206	4508
938	68278	4435
939	68346	4362
940	68419	4289
941	68492	4217
942	68569	4144
943	68635	4071
944	68706	3998
945	68781	3926
946	68859	3853
947	68923	3780
948	68996	3707
949	69068	3635
950	69140	3562
951	69209	3489
952	69275	3416
953	69336	3343
954	69416	3270
955	69502	3198
956	69576	3126
957	69638	3053
958	69713	2980
959	69793	2908
960	69862	2835
961	69953	2763
962	70033	2690
963	70121	2618
964	70190	2545
965	70261	2472
966	70326	2399
967	70400	2327
968	70484	2254
969	70561	2182
970	70640	2109
971	70718	2037
972	70826	1965
973	70955	1894
974	71046	1821
975	71110	1748
976	71180	1675
977	71243	1602
978	71311	1529
979	71377	1456
980	71452	1383
981	71535	1311
982	71601	1238
983	71665	1165
984	71740	1092
985	71811	1019
986	71884	946
987	71954	873
988	72033	801
989	72100	728
990	72171	655
991	72247	582
992	72328	509
993	72397	437
994	72469	364
995	72543	291
996	72620	218
997	72684	145
998	72751	72
999	72822	0
